Date,Competition,Comp_Code,Matchday,Home,Away,Home_Goals,Away_Goals,Venue,Stage,Group,event_id,Team,Opponent,Buts_Pour,Buts_Contre,Resultat,y_target,target_label,home_elo_pre,away_elo_pre,team_elo_pre,h2h_matches_prior,h2h_home_win_rate_prior,h2h_away_win_rate_prior,h2h_draw_rate_prior,team_form_5,team_form_10,team_attack_5,team_defense_5,team_win_rate_before,team_clean_sheet_rate_before,team_ucl_matches_before,team_ucl_win_rate_before,team_rest_days,team_injuries,xg_for_before,xg_against_before,possession_before,bookmaker_prob,is_home,is_away,is_neutral,opponent_form_5,opponent_form_10,opponent_attack_5,opponent_defense_5,opponent_win_rate_before,opponent_clean_sheet_rate_before,opponent_ucl_win_rate_before,opponent_ucl_matches_before,opponent_rest_days,opponent_elo_pre,opponent_injuries,opponent_xg_for_before,opponent_xg_against_before,opponent_possession_before,opponent_bookmaker_prob,elo_diff,form_diff,xg_diff,attack_diff,defense_diff,injuries_diff,possession_diff,ucl_experience_diff,bookmaker_prob_diff,rest_days_diff,h2h_win_rate_diff,h2h_draw_rate
2026-01-03,Premier League,PL,20,AFC Bournemouth,Arsenal FC,2,3,Away,REGULAR_SEASON,,47,AFC Bournemouth,Arsenal FC,2,3,L,2,Team loss,1500.0,1650.5775833900027,1500.0,0,0.0,0.0,0.0,1.0,1.0,1.4803921568627452,1.4803921568627452,0.4117647058823529,0.28431372549019607,0.0,0.38333333333333336,4.0,0.0,0.0,0.0,0.0,0.0,0,1,0,3.0,2.5,2.4,0.6,0.8,0.56,1.0,6.0,4.0,1650.5775833900027,3.0,0.0,0.0,0.0,0.0,-150.5775833900027,-2.0,0.0,-0.9196078431372547,-0.8803921568627452,3.0,0.0,-6.0,0.0,0.0,0.0,0.0
2026-04-11,Premier League,PL,32,Arsenal FC,AFC Bournemouth,1,2,Home,REGULAR_SEASON,,82,AFC Bournemouth,Arsenal FC,2,1,W,0,Team win,1682.936875042065,1492.8978770391634,1492.8978770391634,1,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.38333333333333336,98.0,0.0,0.0,0.0,0.0,0.0,1,0,0,2.6,2.4,1.4,0.2,0.7380952380952381,0.5238095238095238,0.9090909090909091,11.0,4.0,1682.936875042065,3.0,0.0,0.0,0.0,0.0,-190.0389980029015,-2.6,0.0,0.6000000000000001,-2.8,3.0,0.0,-11.0,0.0,94.0,-1.0,0.0
2025-09-27,Ligue 1,FL1,6,Paris Saint-Germain FC,AJ Auxerre,2,0,Home,REGULAR_SEASON,,12,AJ Auxerre,Paris Saint-Germain FC,0,2,L,2,Team loss,1542.0922417225204,1500.0,1500.0,0,0.0,0.0,0.0,1.0,1.0,1.4803921568627452,1.4803921568627452,0.4117647058823529,0.28431372549019607,0.0,0.38333333333333336,4.0,0.0,0.0,0.0,0.0,0.0,1,0,0,2.4,2.5,2.6,0.8,0.8333333333333334,0.6666666666666666,1.0,1.0,5.0,1542.0922417225204,15.0,0.0,0.0,0.0,0.0,-42.092241722520384,-1.4,0.0,-1.119607843137255,-0.6803921568627451,15.0,0.0,-1.0,0.0,-1.0,0.0,0.0
2026-01-23,Ligue 1,FL1,19,AJ Auxerre,Paris Saint-Germain FC,0,1,Away,REGULAR_SEASON,,54,AJ Auxerre,Paris Saint-Germain FC,0,1,L,2,Team loss,1489.4467431943524,1598.6822675120911,1489.4467431943524,1,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.38333333333333336,118.0,0.0,0.0,0.0,0.0,0.0,0,1,0,2.0,2.2,1.8,1.0,0.68,0.44,0.5714285714285714,7.0,3.0,1598.6822675120911,15.0,0.0,0.0,0.0,0.0,-109.23552431773874,-2.0,0.0,-1.8,-1.0,15.0,0.0,-7.0,0.0,115.0,-1.0,0.0
2025-11-29,Ligue 1,FL1,14,AS Monaco FC,Paris Saint-Germain FC,1,0,Away,REGULAR_SEASON,,35,AS Monaco FC,Paris Saint-Germain FC,1,0,W,0,Team win,1500.0,1597.7829723739003,1500.0,0,0.0,0.0,0.0,1.0,1.0,1.4803921568627452,1.4803921568627452,0.4117647058823529,0.28431372549019607,0.0,0.38333333333333336,4.0,0.0,0.0,0.0,0.0,0.0,0,1,0,2.4,2.1,2.6,1.4,0.7222222222222222,0.4444444444444444,0.8,5.0,3.0,1597.7829723739003,15.0,0.0,0.0,0.0,0.0,-97.7829723739003,-1.4,0.0,-1.119607843137255,-0.08039215686274526,15.0,0.0,-5.0,0.0,1.0,0.0,0.0
2026-02-17,Champions League,CL,1,AS Monaco FC,Paris Saint-Germain FC,2,3,Away,PLAYOFFS,,64,AS Monaco FC,Paris Saint-Germain FC,2,3,L,2,Team loss,1515.2908701041572,1604.1401536805556,1515.2908701041572,1,1.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.38333333333333336,80.0,0.0,0.0,0.0,0.0,0.0,0,1,0,2.0,2.0,2.0,1.0,0.6666666666666666,0.43333333333333335,0.5,8.0,4.0,1604.1401536805556,15.0,0.0,0.0,0.0,0.0,-88.84928357639842,1.0,0.0,-1.0,1.0,15.0,0.0,-8.0,0.0,76.0,1.0,0.0
2026-02-25,Champions League,CL,2,Paris Saint-Germain FC,AS Monaco FC,2,2,Home,PLAYOFFS,,68,AS Monaco FC,Paris Saint-Germain FC,2,2,D,1,Draw,1621.0832456840574,1506.2944246317124,1506.2944246317124,2,0.5,0.5,0.0,1.5,1.5,1.5,1.5,0.5,0.5,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1,0,0,2.4,2.2,2.8,1.2,0.6875,0.4375,0.5555555555555556,9.0,4.0,1621.0832456840574,15.0,0.0,0.0,0.0,0.0,-114.78882105234493,-0.8999999999999999,0.0,-1.2999999999999998,-0.30000000000000004,15.0,0.0,-8.0,0.0,4.0,0.0,0.0
2026-03-06,Ligue 1,FL1,25,Paris Saint-Germain FC,AS Monaco FC,1,3,Home,REGULAR_SEASON,,72,AS Monaco FC,Paris Saint-Germain FC,3,1,W,0,Team win,1625.0695150547456,1510.120865525478,1510.120865525478,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.6666666666666667,0.3333333333333333,0.3333333333333333,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1,0,0,2.0,2.0,2.0,1.4,0.6764705882352942,0.4411764705882353,0.5,10.0,6.0,1625.0695150547456,15.0,0.0,0.0,0.0,0.0,-114.94864952926764,-0.6666666666666667,0.0,-0.33333333333333326,-0.26666666666666683,15.0,0.0,-8.0,0.0,3.0,0.0,0.3333333333333333
2025-08-22,Ligue 1,FL1,2,Paris Saint-Germain FC,Angers SCO,1,0,Home,REGULAR_SEASON,,2,Angers SCO,Paris Saint-Germain FC,0,1,L,2,Team loss,1512.0,1500.0,1500.0,0,0.0,0.0,0.0,1.0,1.0,1.4803921568627452,1.4803921568627452,0.4117647058823529,0.28431372549019607,0.0,0.38333333333333336,4.0,0.0,0.0,0.0,0.0,0.0,1,0,0,3.0,3.0,1.0,0.0,1.0,1.0,0.38333333333333336,0.0,5.0,1512.0,15.0,0.0,0.0,0.0,0.0,-12.0,-2.0,0.0,0.48039215686274517,-1.4803921568627452,15.0,0.0,0.0,0.0,-1.0,0.0,0.0
2026-04-25,Ligue 1,FL1,31,Angers SCO,Paris Saint-Germain FC,0,3,Away,REGULAR_SEASON,,88,Angers SCO,Paris Saint-Germain FC,0,3,L,2,Team loss,1488.414300586377,1645.29530807852,1488.414300586377,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.38333333333333336,246.0,0.0,0.0,0.0,0.0,0.0,0,1,0,2.4,2.4,2.2,0.6,0.6976744186046512,0.46511627906976744,0.6428571428571429,14.0,3.0,1645.29530807852,15.0,0.0,0.0,0.0,0.0,-156.881007492143,-2.4,0.0,-2.2,-0.4,15.0,0.0,-14.0,0.0,243.0,-1.0,0.0
