Date,Competition,Comp_Code,Matchday,Home,Away,Home_Goals,Away_Goals,Team,Opponent,Venue,Buts_Pour,Buts_Contre,Resultat,Stage,Group
2025-08-17,Premier League,PL,1,Manchester United FC,Arsenal FC,0,1,Arsenal FC,Manchester United FC,Away,1,0,W,REGULAR_SEASON,
2025-08-23,Premier League,PL,2,Arsenal FC,Leeds United FC,5,0,Arsenal FC,Leeds United FC,Home,5,0,W,REGULAR_SEASON,
2025-08-31,Premier League,PL,3,Liverpool FC,Arsenal FC,1,0,Arsenal FC,Liverpool FC,Away,0,1,L,REGULAR_SEASON,
2025-09-13,Premier League,PL,4,Arsenal FC,Nottingham Forest FC,3,0,Arsenal FC,Nottingham Forest FC,Home,3,0,W,REGULAR_SEASON,
2025-09-16,Champions League,CL,1,Athletic Club,Arsenal FC,0,2,Arsenal FC,Athletic Club,Away,2,0,W,LEAGUE_STAGE,
2025-09-21,Premier League,PL,5,Arsenal FC,Manchester City FC,1,1,Arsenal FC,Manchester City FC,Home,1,1,D,REGULAR_SEASON,
2025-09-28,Premier League,PL,6,Newcastle United FC,Arsenal FC,1,2,Arsenal FC,Newcastle United FC,Away,2,1,W,REGULAR_SEASON,
2025-10-01,Champions League,CL,2,Arsenal FC,PAE Olympiakos SFP,2,0,Arsenal FC,PAE Olympiakos SFP,Home,2,0,W,LEAGUE_STAGE,
2025-10-04,Premier League,PL,7,Arsenal FC,West Ham United FC,2,0,Arsenal FC,West Ham United FC,Home,2,0,W,REGULAR_SEASON,
2025-10-18,Premier League,PL,8,Fulham FC,Arsenal FC,0,1,Arsenal FC,Fulham FC,Away,1,0,W,REGULAR_SEASON,
2025-10-21,Champions League,CL,3,Arsenal FC,Club Atlético de Madrid,4,0,Arsenal FC,Club Atlético de Madrid,Home,4,0,W,LEAGUE_STAGE,
2025-10-26,Premier League,PL,9,Arsenal FC,Crystal Palace FC,1,0,Arsenal FC,Crystal Palace FC,Home,1,0,W,REGULAR_SEASON,
2025-11-01,Premier League,PL,10,Burnley FC,Arsenal FC,0,2,Arsenal FC,Burnley FC,Away,2,0,W,REGULAR_SEASON,
2025-11-04,Champions League,CL,4,SK Slavia Praha,Arsenal FC,0,3,Arsenal FC,SK Slavia Praha,Away,3,0,W,LEAGUE_STAGE,
2025-11-08,Premier League,PL,11,Sunderland AFC,Arsenal FC,2,2,Arsenal FC,Sunderland AFC,Away,2,2,D,REGULAR_SEASON,
2025-11-23,Premier League,PL,12,Arsenal FC,Tottenham Hotspur FC,4,1,Arsenal FC,Tottenham Hotspur FC,Home,4,1,W,REGULAR_SEASON,
2025-11-26,Champions League,CL,5,Arsenal FC,FC Bayern München,3,1,Arsenal FC,FC Bayern München,Home,3,1,W,LEAGUE_STAGE,
2025-11-30,Premier League,PL,13,Chelsea FC,Arsenal FC,1,1,Arsenal FC,Chelsea FC,Away,1,1,D,REGULAR_SEASON,
2025-12-03,Premier League,PL,14,Arsenal FC,Brentford FC,2,0,Arsenal FC,Brentford FC,Home,2,0,W,REGULAR_SEASON,
2025-12-06,Premier League,PL,15,Aston Villa FC,Arsenal FC,2,1,Arsenal FC,Aston Villa FC,Away,1,2,L,REGULAR_SEASON,
2025-12-10,Champions League,CL,6,Club Brugge KV,Arsenal FC,0,3,Arsenal FC,Club Brugge KV,Away,3,0,W,LEAGUE_STAGE,
2025-12-13,Premier League,PL,16,Arsenal FC,Wolverhampton Wanderers FC,2,1,Arsenal FC,Wolverhampton Wanderers FC,Home,2,1,W,REGULAR_SEASON,
2025-12-20,Premier League,PL,17,Everton FC,Arsenal FC,0,1,Arsenal FC,Everton FC,Away,1,0,W,REGULAR_SEASON,
2025-12-27,Premier League,PL,18,Arsenal FC,Brighton & Hove Albion FC,2,1,Arsenal FC,Brighton & Hove Albion FC,Home,2,1,W,REGULAR_SEASON,
2025-12-30,Premier League,PL,19,Arsenal FC,Aston Villa FC,4,1,Arsenal FC,Aston Villa FC,Home,4,1,W,REGULAR_SEASON,
2026-01-03,Premier League,PL,20,AFC Bournemouth,Arsenal FC,2,3,Arsenal FC,AFC Bournemouth,Away,3,2,W,REGULAR_SEASON,
2026-01-08,Premier League,PL,21,Arsenal FC,Liverpool FC,0,0,Arsenal FC,Liverpool FC,Home,0,0,D,REGULAR_SEASON,
2026-01-17,Premier League,PL,22,Nottingham Forest FC,Arsenal FC,0,0,Arsenal FC,Nottingham Forest FC,Away,0,0,D,REGULAR_SEASON,
2026-01-20,Champions League,CL,7,FC Internazionale Milano,Arsenal FC,1,3,Arsenal FC,FC Internazionale Milano,Away,3,1,W,LEAGUE_STAGE,
2026-01-25,Premier League,PL,23,Arsenal FC,Manchester United FC,2,3,Arsenal FC,Manchester United FC,Home,2,3,L,REGULAR_SEASON,
2026-01-28,Champions League,CL,8,Arsenal FC,FK Kairat,3,2,Arsenal FC,FK Kairat,Home,3,2,W,LEAGUE_STAGE,
2026-01-31,Premier League,PL,24,Leeds United FC,Arsenal FC,0,4,Arsenal FC,Leeds United FC,Away,4,0,W,REGULAR_SEASON,
2026-02-07,Premier League,PL,25,Arsenal FC,Sunderland AFC,3,0,Arsenal FC,Sunderland AFC,Home,3,0,W,REGULAR_SEASON,
2026-02-12,Premier League,PL,26,Brentford FC,Arsenal FC,1,1,Arsenal FC,Brentford FC,Away,1,1,D,REGULAR_SEASON,
2026-02-18,Premier League,PL,31,Wolverhampton Wanderers FC,Arsenal FC,2,2,Arsenal FC,Wolverhampton Wanderers FC,Away,2,2,D,REGULAR_SEASON,
2026-02-22,Premier League,PL,27,Tottenham Hotspur FC,Arsenal FC,1,4,Arsenal FC,Tottenham Hotspur FC,Away,4,1,W,REGULAR_SEASON,
2026-03-01,Premier League,PL,28,Arsenal FC,Chelsea FC,2,1,Arsenal FC,Chelsea FC,Home,2,1,W,REGULAR_SEASON,
2026-03-04,Premier League,PL,29,Brighton & Hove Albion FC,Arsenal FC,0,1,Arsenal FC,Brighton & Hove Albion FC,Away,1,0,W,REGULAR_SEASON,
2026-03-11,Champions League,CL,1,Bayer 04 Leverkusen,Arsenal FC,1,1,Arsenal FC,Bayer 04 Leverkusen,Away,1,1,D,LAST_16,
2026-03-14,Premier League,PL,30,Arsenal FC,Everton FC,2,0,Arsenal FC,Everton FC,Home,2,0,W,REGULAR_SEASON,
2026-03-17,Champions League,CL,2,Arsenal FC,Bayer 04 Leverkusen,2,0,Arsenal FC,Bayer 04 Leverkusen,Home,2,0,W,LAST_16,
2026-04-07,Champions League,CL,1,Sporting Clube de Portugal,Arsenal FC,0,1,Arsenal FC,Sporting Clube de Portugal,Away,1,0,W,QUARTER_FINALS,
2026-04-11,Premier League,PL,32,Arsenal FC,AFC Bournemouth,1,2,Arsenal FC,AFC Bournemouth,Home,1,2,L,REGULAR_SEASON,
2026-04-15,Champions League,CL,2,Arsenal FC,Sporting Clube de Portugal,0,0,Arsenal FC,Sporting Clube de Portugal,Home,0,0,D,QUARTER_FINALS,
2026-04-19,Premier League,PL,33,Manchester City FC,Arsenal FC,2,1,Arsenal FC,Manchester City FC,Away,1,2,L,REGULAR_SEASON,
2026-04-25,Premier League,PL,34,Arsenal FC,Newcastle United FC,1,0,Arsenal FC,Newcastle United FC,Home,1,0,W,REGULAR_SEASON,
2026-04-29,Champions League,CL,1,Club Atlético de Madrid,Arsenal FC,1,1,Arsenal FC,Club Atlético de Madrid,Away,1,1,D,SEMI_FINALS,
2026-05-02,Premier League,PL,35,Arsenal FC,Fulham FC,3,0,Arsenal FC,Fulham FC,Home,3,0,W,REGULAR_SEASON,
2026-05-05,Champions League,CL,2,Arsenal FC,Club Atlético de Madrid,1,0,Arsenal FC,Club Atlético de Madrid,Home,1,0,W,SEMI_FINALS,
2026-05-10,Premier League,PL,36,West Ham United FC,Arsenal FC,0,1,Arsenal FC,West Ham United FC,Away,1,0,W,REGULAR_SEASON,
2026-05-18,Premier League,PL,37,Arsenal FC,Burnley FC,1,0,Arsenal FC,Burnley FC,Home,1,0,W,REGULAR_SEASON,
2026-05-24,Premier League,PL,38,Crystal Palace FC,Arsenal FC,1,2,Arsenal FC,Crystal Palace FC,Away,2,1,W,REGULAR_SEASON,
