Position,Team,Team_ID,Played,Won,Draw,Lost,GF,GA,GD,Points,Type,Group
1,Paris Saint-Germain FC,524,34,24,4,6,74,29,45,76,TOTAL,
2,Racing Club de Lens,546,34,22,4,8,66,35,31,70,TOTAL,
3,Lille OSC,521,34,18,7,9,52,37,15,61,TOTAL,
4,Olympique Lyonnais,523,34,18,6,10,53,40,13,60,TOTAL,
5,Olympique de Marseille,516,34,18,5,11,63,45,18,59,TOTAL,
6,Stade Rennais FC 1901,529,34,17,8,9,59,50,9,59,TOTAL,
7,AS Monaco FC,548,34,16,6,12,60,54,6,54,TOTAL,
8,RC Strasbourg Alsace,576,34,15,8,11,58,47,11,53,TOTAL,
9,FC Lorient,525,34,11,12,11,48,51,-3,45,TOTAL,
10,Toulouse FC,511,33,12,8,13,47,46,1,44,TOTAL,
11,Paris FC,1045,34,11,11,12,47,50,-3,44,TOTAL,
12,Stade Brestois 29,512,34,10,9,15,43,55,-12,39,TOTAL,
13,Angers SCO,532,34,9,9,16,29,48,-19,36,TOTAL,
14,Le Havre AC,533,34,7,14,13,32,44,-12,35,TOTAL,
15,AJ Auxerre,519,34,8,10,16,34,44,-10,34,TOTAL,
16,OGC Nice,522,34,7,11,16,37,60,-23,32,TOTAL,
17,FC Nantes,543,33,5,8,20,29,52,-23,23,TOTAL,
18,FC Metz,545,34,3,8,23,32,76,-44,17,TOTAL,
1,Racing Club de Lens,546,17,14,0,3,35,13,22,42,HOME,
2,Paris Saint-Germain FC,524,17,13,2,2,41,12,29,41,HOME,
3,Olympique de Marseille,516,17,11,4,2,41,20,21,37,HOME,
4,Olympique Lyonnais,523,17,12,1,4,30,18,12,37,HOME,
5,Stade Rennais FC 1901,529,17,10,4,3,30,17,13,34,HOME,
6,AS Monaco FC,548,17,10,2,5,33,23,10,32,HOME,
7,RC Strasbourg Alsace,576,17,9,3,5,30,19,11,30,HOME,
8,FC Lorient,525,17,8,6,3,31,25,6,30,HOME,
9,Lille OSC,521,17,8,5,4,24,17,7,29,HOME,
10,Stade Brestois 29,512,17,7,5,5,28,23,5,26,HOME,
11,Paris FC,1045,17,7,4,6,28,27,1,25,HOME,
12,Toulouse FC,511,17,6,6,5,25,24,1,24,HOME,
13,Le Havre AC,533,17,5,8,4,20,18,2,23,HOME,
14,Angers SCO,532,17,6,5,6,18,20,-2,23,HOME,
15,AJ Auxerre,519,17,6,4,7,18,17,1,22,HOME,
16,OGC Nice,522,17,4,8,5,19,27,-8,20,HOME,
17,FC Nantes,543,16,3,3,10,18,27,-9,12,HOME,
18,FC Metz,545,17,2,4,11,15,32,-17,10,HOME,
1,Paris Saint-Germain FC,524,17,11,2,4,33,17,16,35,AWAY,
2,Lille OSC,521,17,10,2,5,28,20,8,32,AWAY,
3,Racing Club de Lens,546,17,8,4,5,31,22,9,28,AWAY,
4,Stade Rennais FC 1901,529,17,7,4,6,29,33,-4,25,AWAY,
5,Olympique Lyonnais,523,17,6,5,6,23,22,1,23,AWAY,
6,RC Strasbourg Alsace,576,17,6,5,6,28,28,0,23,AWAY,
7,Olympique de Marseille,516,17,7,1,9,22,25,-3,22,AWAY,
8,AS Monaco FC,548,17,6,4,7,27,31,-4,22,AWAY,
9,Toulouse FC,511,16,6,2,8,22,22,0,20,AWAY,
10,Paris FC,1045,17,4,7,6,19,23,-4,19,AWAY,
11,FC Lorient,525,17,3,6,8,17,26,-9,15,AWAY,
12,Stade Brestois 29,512,17,3,4,10,15,32,-17,13,AWAY,
13,Angers SCO,532,17,3,4,10,11,28,-17,13,AWAY,
14,AJ Auxerre,519,17,2,6,9,16,27,-11,12,AWAY,
15,Le Havre AC,533,17,2,6,9,12,26,-14,12,AWAY,
16,OGC Nice,522,17,3,3,11,18,33,-15,12,AWAY,
17,FC Nantes,543,17,2,5,10,11,25,-14,11,AWAY,
18,FC Metz,545,17,1,4,12,17,44,-27,7,AWAY,
